author_name,total_books,total_sales,average_rating
Nguyễn Hữu Hưng (chủ biên),1,2,0.0
Nguyễn Hữu Long,1,11,5.0
Nguyễn Hữu Thái,1,0,0.0
Nguyễn Kiên,1,0,0.0
Nguyễn Loan,1,3,0.0
Nguyễn Lân Đính,3,569,4.266666666666667
Nguyễn Mai Chi,2,0,0.0
Nguyễn Mạnh Cường,3,6,0.0
Nguyễn Mạnh Thái,4,8,0.0
Nguyễn Mạnh Thái soạn lời và minh hoạ,1,12,0.0
Nguyễn Ngọc Ưu,1,1,0.0
Nguyễn Như Mai,2,138,2.5
Nguyễn Như Quỳnh,1,0,0.0
Nguyễn Phương Bảo An,1,38,3.8
Nguyễn Quang Lập,1,0,0.0
Nguyễn Quỳnh Mai,1,0,0.0
Nguyễn Thanh Hải,1,2,0.0
Nguyễn Thị Bích Hậu,3,1292,4.7
Nguyễn Thị Ngọc Hương,1,0,0.0
Nguyễn Thị Như Hiền,1,0,0.0
Nguyễn Thị Thu,1,3000,4.8
Nguyễn Thị Vi Khanh,4,41,2.5
Nguyễn Thị Việt Hà,2,7,2.5
Nguyễn Thụy Anh,5,590,3.0
Nguyễn Trí Đoàn,1,4000,5.0
Nguyễn Tấn Thanh Trúc,1,9,4.5
Nguyễn Viết Long,1,0,0.0
Nguyễn Đức Tấn,1,0,0.0
Ngô Cam Lâm,1,0,0.0
Ngô Mạnh Lân,1,0,0.0
Ngôi nhà Ốc Sên,1,2,0.0
Ngọc Linh,8,401,2.425
Ngọc Nguyễn,1,0,0.0
Ngọc Phương,1,15,5.0
Nhiều,11,48,0.4090909090909091
Nhiều dịch giả,2,0,0.0
Nhiều tác giả,78,6351,2.3615384615384616
Nhum,2,0,0.0
Nhân Văn Group,2,28,5.0
Nhã Uyên,2,3,0.0
Nhóm An Sinh,1,1000,5.0
Nhóm Dolphin,2,41,0.0
Nhóm GV ĐH Sư phạm,1,9,5.0
